ID,age,car_type,Loanamount,Deposit,area,APR,application_outcome,Funded,Loanamount_Grouped,Deposit_Grouped,Age_Grouped,Net_Exposure,funded_flag,approved_flag
9997,61,Convertible,24108.0,881.0,rural,0.15,approved,No,">=24,000","600-1,199",61-65,23227.0,0,1
9996,42,Saloon,5988.0,967.0,rural,0.2,approved,No,"4,800-7,199","600-1,199",41-45,5021.0,0,1
9995,57,Saloon,5099.0,973.0,urban,0.15,approved,No,"4,800-7,199","600-1,199",56-60,4126.0,0,1
9994,32,Convertible,20774.0,1478.0,rural,0.0,declined,N/A,"19,200-21,599","1,200-1,799",31-35,19296.0,0,0
9993,29,Saloon,4612.0,774.0,urban,0.0,declined,N/A,"<4,800","600-1,199",26-30,3838.0,0,0
9988,63,Saloon,2980.0,679.0,rural,0.0,declined,N/A,"<4,800","600-1,199",61-65,2301.0,0,0
9985,49,SUV,9738.0,671.0,rural,0.15,approved,Yes,"9,600-11,999","600-1,199",46-50,9067.0,1,1
9981,52,Saloon,6341.0,533.0,urban,0.15,approved,No,"4,800-7,199",<600,51-55,5808.0,0,1
9979,21,Convertible,18056.0,1152.0,urban,0.0,declined,N/A,"16,800-19,199","600-1,199",21-25,16904.0,0,0
9978,19,SUV,14884.0,1233.0,rural,0.0,declined,N/A,"14,400-16,799","1,200-1,799",18-20,13651.0,0,0
9977,28,SUV,13959.0,616.0,urban,0.0,declined,N/A,"12,000-14,399","600-1,199",26-30,13343.0,0,0
9974,49,SUV,2981.0,1132.0,rural,0.1,approved,No,"<4,800","600-1,199",46-50,1849.0,0,1
9972,48,Saloon,14197.0,1339.0,urban,0.15,approved,No,"12,000-14,399","1,200-1,799",46-50,12858.0,0,1
9970,33,Saloon,3799.0,764.0,urban,0.2,approved,No,"<4,800","600-1,199",31-35,3035.0,0,1
9969,60,Convertible,10179.0,823.0,rural,0.15,approved,No,"9,600-11,999","600-1,199",56-60,9356.0,0,1
9963,46,Convertible,25384.0,1067.0,rural,0.15,approved,Yes,">=24,000","600-1,199",46-50,24317.0,1,1
9960,39,Saloon,5104.0,1470.0,rural,0.15,approved,Yes,"4,800-7,199","1,200-1,799",36-40,3634.0,1,1
9955,62,Saloon,5033.0,1098.0,urban,0.15,approved,Yes,"4,800-7,199","600-1,199",61-65,3935.0,1,1
9953,57,SUV,11775.0,843.0,rural,0.2,approved,No,"9,600-11,999","600-1,199",56-60,10932.0,0,1
9952,40,Saloon,3670.0,1507.0,rural,0.15,approved,No,"<4,800","1,200-1,799",36-40,2163.0,0,1
9948,41,Saloon,13692.0,1600.0,urban,0.15,approved,Yes,"12,000-14,399","1,200-1,799",41-45,12092.0,1,1
9944,62,Saloon,5648.0,1239.0,rural,0.0,declined,N/A,"4,800-7,199","1,200-1,799",61-65,4409.0,0,0
9941,49,Saloon,3216.0,1263.0,urban,0.2,approved,Yes,"<4,800","1,200-1,799",46-50,1953.0,1,1
9940,48,Saloon,3152.0,833.0,rural,0.15,approved,No,"<4,800","600-1,199",46-50,2319.0,0,1
9937,61,Convertible,14282.0,505.0,rural,0.05,approved,No,"12,000-14,399",<600,61-65,13777.0,0,1
9933,43,Saloon,9642.0,872.0,urban,0.1,approved,Yes,"9,600-11,999","600-1,199",41-45,8770.0,1,1
